la,ぁ
li,ぃ
lu,ぅ
le,ぇ
lo,ぉ
lya,ゃ
lyi,ぃ
lyu,ゅ
lye,ぇ
lyo,ょ
va,ゔぁ
vi,ゔぃ
vu,ゔ
ve,ゔぇ
vo,ゔぉ
vya,ゔゃ
vyi,ゔぃ
vyu,ゔゅ
vye,ゔぇ
vyo,ゔょ
wi,うぃ
we,うぇ
wyi,ゐ
wye,ゑ

qq,っ,-1
vv,っ,-1
ll,っ,-1
xx,っ,-1
kk,っ,-1
gg,っ,-1
ss,っ,-1
zz,っ,-1
jj,っ,-1
tt,っ,-1
dd,っ,-1
hh,っ,-1
ff,っ,-1
bb,っ,-1
pp,っ,-1
mm,っ,-1
yy,っ,-1
rr,っ,-1
ww,っ,-1
www,w,-2
cc,っ,-1

tsa,つぁ
tsi,つぃ
tse,つぇ
tso,つぉ
t'i,てぃ
t'yu,てゅ
d'i,でぃ
d'yu,でゅ
twa,とぁ
twi,とぃ
twu,とぅ
twe,とぇ
two,とぉ
t'u,とぅ
dwa,どぁ
dwi,どぃ
dwu,どぅ
dwe,どぇ
dwo,どぉ
d'u,どぅ
fya,ふゃ
fyu,ふゅ
fyo,ふょ
hwa,ふぁ
hwi,ふぃ
hwe,ふぇ
hwo,ふぉ
hwyu,ふゅ
xn,ん
xyi,ぃ
xye,ぇ
lka,ヵ
lke,ヶ
ci,し
ce,せ
qa,くぁ
qi,くぃ
qu,く
qe,くぇ
qo,くぉ
kwa,くぁ
kwi,くぃ
kwu,くぅ
kwe,くぇ
kwo,くぉ
gwa,ぐぁ
gwi,ぐぃ
gwu,ぐぅ
gwe,ぐぇ
gwo,ぐぉ
swa,すぁ
swi,すぃ
swu,すぅ
swe,すぇ
swo,すぉ
zwa,ずぁ
zwi,ずぃ
zwu,ずぅ
zwe,ずぇ
zwo,ずぉ
xtu,っ
ltu,っ
ltsu,っ
lwa,ゎ
wha,うぁ
whi,うぃ
whu,う
whe,うぇ
who,うぉ
zh,←
zj,↓
zk,↑
zl,→
